number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,8,12,OPEN,1734188325000,46.543986,15.629317,2024-12-14 15:58:45
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734260934000,46.543986,15.629317,2024-12-15 12:08:54
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734262140000,46.543986,15.629317,2024-12-15 12:29:00
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734262743000,46.543986,15.629317,2024-12-15 12:39:03
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,9,11,OPEN,1734266966000,46.543986,15.629317,2024-12-15 13:49:26
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,14,6,OPEN,1734354276000,46.543986,15.629317,2024-12-16 14:04:36
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,13,7,OPEN,1734356462000,46.543986,15.629317,2024-12-16 14:41:02
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,13,7,OPEN,1734357112000,46.543986,15.629317,2024-12-16 14:51:52
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,10,10,OPEN,1734362062000,46.543986,15.629317,2024-12-16 16:14:22
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,10,10,OPEN,1734362551000,46.543986,15.629317,2024-12-16 15:22:31
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734366776000,46.543986,15.629317,2024-12-16 16:32:56
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734368600000,46.543986,15.629317,2024-12-16 17:03:20
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734370162000,46.543986,15.629317,2024-12-16 17:29:22
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734374116000,46.543986,15.629317,2024-12-16 18:35:16
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,12,8,OPEN,1734376551000,46.543986,15.629317,2024-12-16 19:15:51
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,12,8,OPEN,1734381078000,46.543986,15.629317,2024-12-16 20:31:18
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734384456000,46.543986,15.629317,2024-12-16 21:27:36
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734388373000,46.543986,15.629317,2024-12-16 22:32:53
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734391213000,46.543986,15.629317,2024-12-16 23:20:13
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734400592000,46.543986,15.629317,2024-12-17 01:56:32
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734404631000,46.543986,15.629317,2024-12-17 03:03:51
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734407072000,46.543986,15.629317,2024-12-17 03:44:32
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734410069000,46.543986,15.629317,2024-12-17 04:34:29
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,11,9,OPEN,1734413127000,46.543986,15.629317,2024-12-17 05:25:27
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,13,7,OPEN,1734417602000,46.543986,15.629317,2024-12-17 06:40:02
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,13,7,OPEN,1734420351000,46.543986,15.629317,2024-12-17 07:25:51
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,15,5,OPEN,1734424510000,46.543986,15.629317,2024-12-17 08:35:10
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,15,5,OPEN,1734427391000,46.543986,15.629317,2024-12-17 09:23:11
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,16,4,OPEN,1734431647000,46.543986,15.629317,2024-12-17 10:34:07
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,17,3,OPEN,1734434656000,46.543986,15.629317,2024-12-17 11:24:16
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,17,3,OPEN,1734439649000,46.543986,15.629317,2024-12-17 12:47:29
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,17,3,OPEN,1734442067000,46.543986,15.629317,2024-12-17 13:27:47
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,15,5,OPEN,1734445692000,46.543986,15.629317,2024-12-17 14:28:12
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,12,8,OPEN,1734449073000,46.543986,15.629317,2024-12-17 15:24:33
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,13,7,OPEN,1734453306000,46.543986,15.629317,2024-12-17 16:35:06
